#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
1,Austin Voth,2 Tms,2.7,5.4,0.5,2.7,5.40%,10.70%,-5.40%,0.38,2.5,0.364,62.50%,239,196,183,9.9,8.2,1.7,7.61,6.78
2,Lucas Giolito,SDP,5.46,6.98,0.78,1.21,13.00%,16.70%,-3.60%,0.281,1.85,0.304,73.40%,129,145,151,5.16,6.06,-0.9,6.34,6.5
3,Luis Curvelo,TEX,5.23,6.1,0.86,3.48,10.90%,12.70%,-1.80%,0.354,2.32,0.342,65.20%,234,216,173,9.58,9,0.58,7.18,6.32
4,Danny Coulombe,BOS,4.09,6.14,0.67,0.41,10.40%,15.60%,-5.20%,0.225,1.5,0.246,70.60%,105,120,148,4.5,4.96,-0.46,6.15,6.31
5,Hayden Juenger,2 Tms,3.38,4.5,0.75,0,7.40%,9.90%,-2.50%,0.333,2,0.364,51.50%,204,93,158,9,4.03,4.97,6.58,6.16
6,Sean Sullivan,COL,6.45,4.43,1.45,2.01,14.00%,9.60%,4.40%,0.34,2.01,0.367,63.40%,188,147,165,8.87,6.45,2.41,6.92,6.12
7,Max Kranick,WSN,5.4,6.38,0.85,1.96,11.70%,13.80%,-2.10%,0.338,2.18,0.354,62.10%,219,165,158,9.33,7.02,2.3,6.65,6.05
8,Mitch Bratt,ARI,6.14,5.52,1.11,1.02,15.50%,13.90%,1.50%,0.241,1.52,0.267,73.80%,112,125,143,4.7,5.12,-0.41,6,6.03
9,Philip Abner,ARI,3.77,5.02,0.75,1.26,9.40%,12.50%,-3.10%,0.25,1.53,0.25,62.50%,150,140,144,6.28,5.75,0.53,6.04,6.02
10,Connor Phillips,CIN,9.11,9.11,1,0.98,21.10%,21.10%,0.00%,0.206,1.77,0.254,71.10%,130,134,156,5.53,5.84,-0.31,6.56,6.01
11,Ethan Pecko,HOU,5.71,5.19,1.1,2.08,14.30%,13.00%,1.30%,0.242,1.5,0.235,74.80%,126,164,146,5.19,6.73,-1.54,6.08,5.95
12,Luis Morales,ATH,7.31,7.88,0.93,3.94,14.40%,15.60%,-1.10%,0.36,2.56,0.364,49.70%,301,228,158,13.5,9.97,3.53,6.54,5.94
13,Lazaro Estrada,TOR,6.23,6.92,0.9,1.38,15.80%,17.50%,-1.80%,0.174,1.38,0.171,61.70%,134,149,144,5.54,6.25,-0.71,5.99,5.94
14,Jose Quintana,COL,4.39,3.73,1.18,1.32,11.00%,9.40%,1.70%,0.276,1.51,0.285,65.90%,112,122,140,5.27,5.34,-0.07,5.9,5.91
15,Jose Franco,CIN,6.64,7.08,0.94,1.33,16.10%,17.20%,-1.10%,0.247,1.72,0.271,77.90%,104,135,144,4.43,5.9,-1.47,6.06,5.9
16,Luis Gil,NYY,5.06,5.06,1,2.53,12.60%,12.60%,0.00%,0.203,1.31,0.164,76.30%,142,185,149,5.91,7.88,-1.97,6.2,5.87
17,Brandon Williamson,CIN,6.48,5.94,1.09,1.35,15.80%,14.50%,1.30%,0.26,1.65,0.286,70.60%,139,134,144,5.94,5.86,0.08,6.03,5.87
18,Drew Pomeranz,2 Tms,5.28,4.97,1.06,2.17,12.60%,11.90%,0.70%,0.274,1.66,0.269,77.10%,135,168,156,5.59,6.92,-1.34,6.49,5.85
19,Mason Black,KCR,5.46,5.74,0.95,1.72,13.40%,14.10%,-0.70%,0.25,1.6,0.253,82.60%,101,155,149,4.31,6.48,-2.17,6.2,5.81
